Session_ID,Observer1,Observer2,Date,Phase,Julian_day_from_start,Start_Time,End_Time,Duration,dur_hr,pred_rate_seal_hour,pred_rate_per_hour,Tide,Treatment,Seal_Freq,SL_Freq,Seal_Pred,SL_Pred,seals_in_ladder,Observer1_Location,Observer2_Location,Notes
B001,LB,NA,2020-07-08,Baseline,1,12:24,12:45,00:21,0.35,0.71,2.86,,TAST OFF,4,0,1,NA,,Gate,,collecting data at the gate
B002,LB,NA,2020-07-19,Baseline,12,11:48,13:00,01:12,1.2,0.5,2.5,,TAST OFF,5,0,3,NA,,Gate,,collecting data at the gate
B003,LB,NA,2020-07-21,Baseline,14,11:08,12:10,01:02,1.03,0.39,1.94,,TAST OFF,5,0,2,NA,,Gate,,collecting data at the gate
B004,LB,NA,2020-07-23,Baseline,16,20:27,21:13,00:46,0.77,0.26,1.3,,TAST OFF,5,0,1,NA,,Gate,,"collecting data at the gate, LB + AB got dark towards the end and had to cut short our hour of obvs. Very high tide."
B005,LB,NA,2020-07-26,Baseline,19,12:27,13:29,01:02,1.03,0.48,2.9,,TAST OFF,6,0,3,NA,,Gate,,collecting data at the gate
B006,LB,NA,2020-08-10,Baseline,19,13:30,14:00,00:30,0.5,0,0,,TAST OFF,7,0,0,NA,,Gate,,collecting data at the gate
B007,LB,NA,2020-08-10,Baseline,34,14:00,14:30,00:30,0.5,0.4,2,,TAST OFF,5,0,1,NA,,Gate,,collecting data at the gate
B008,LB,NA,2020-08-10,Baseline,34,14:30,15:00,00:30,0.5,0,0,,TAST OFF,4,0,0,NA,,Gate,,collecting data at the gate
B009,LB,NA,2020-08-10,Baseline,34,15:15,15:45,00:30,0.5,0.33,2,,TAST OFF,6,0,1,NA,,Gate,,collecting data at the gate
B010,LB,NA,2020-08-11,Baseline,35,13:45,14:15,00:30,0.5,0.67,4,,TAST OFF,6,0,2,NA,,Gate,,"Not a lot of transiting, collecting data at the gate."
B011,LB,NA,2020-08-11,Baseline,35,15:15,15:45,00:30,0.5,0.29,2,,TAST OFF,7,0,1,NA,,Gate,,
B012,LB,NA,2020-08-11,Baseline,35,16:00,16:30,00:30,0.5,0,0,,TAST OFF,7,0,0,NA,,Gate,,
B013,LB,NA,2020-08-11,Baseline,36,11:15,11:45,00:30,0.5,0.67,4,,TAST OFF,6,0,2,NA,,Gate,,"54m w of ladder, colleting data at gate, collected firecreacker recording at 12:30pm, rec#0020 @2:33 into rec. Gain: 0.0, 222m from ladder"
B014,LB,NA,2020-08-12,Baseline,36,13:30,14:01,00:31,0.5,0.86,6,,TAST OFF,7,0,3,NA,,Gate,,"TONS of foraging, everyother seal had FIM, collecting data at gate"
B015,LB,NA,2020-08-12,Baseline,36,14:20,14:30,00:10,0.5,0.67,4,,TAST OFF,6,0,2,NA,,Gate,,"Ended early, JO arrived to collect Firecracker recs. Used CR1 @ 66m, RL:170dB, SL=10dB for every decade of distance (assuming spherical spreading), humans hear 20Hz-20kHz."
