blockid,dist2midblk,rl_blk_mid_emp,rl_blk_mid_the,session_id,MDHM,Date,jul_day,Time,start_hr,obs_hour,dur_hr,ID,treatment,species,num_idv,obs,foraging,block,block_ns,platform_bearing,tide_dist,tide_ht,fish,block_fac,x,y,idv_rl
1S,25,145.55271403066138,154.04119982655925,B010,8_11_13_47,2020-08-11,17,13:47:00,13,13,0.5,57,OFF,HS,1,LB,1,1,S,NA,6,2.22,891,0,NA,NA,160.82903190860083
1S,25,145.55271403066138,154.04119982655925,B010,8_11_13_49,2020-08-11,17,13:49:00,13,13,0.5,58,OFF,HS,2,LB,0,1,S,NA,29,2.22,891,0,NA,NA,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,B010,8_11_13_50,2020-08-11,17,13:50:00,13,13,0.5,60,OFF,HS,1,LB,0,1,S,NA,41,2.21,891,0,NA,NA,140.25732447574273
1S,25,145.55271403066138,154.04119982655925,B010,8_11_14_0,2020-08-11,17,14:00:00,13,14,0.5,66,OFF,HS,1,LB,0,1,S,NA,34,2.19,891,0,NA,NA,142.2612977439735
1S,25,145.55271403066138,154.04119982655925,B010,8_11_14_11,2020-08-11,17,14:11:00,13,14,0.5,77,OFF,HS,1,LB,0,1,S,NA,41,2.15,891,0,NA,NA,140.25732447574273
1S,25,145.55271403066138,154.04119982655925,B013,8_12_11_19,2020-08-12,18,11:19:00,11,11,0.5,119,OFF,HS,1,LB,1,1,S,NA,47,2.23,137,0,NA,NA,138.79537550511264
1S,25,145.55271403066138,154.04119982655925,B013,8_12_11_27,2020-08-12,18,11:27:00,11,11,0.5,122,OFF,HS,1,LB,0,1,S,NA,44,2.26,137,0,NA,NA,139.50141105616513
1S,25,145.55271403066138,154.04119982655925,B014,8_12_13_39,2020-08-12,18,13:39:00,13,13,0.5,138,OFF,HS,1,LB,0,1,S,NA,32,2.52,137,0,NA,NA,142.9102434241471
1S,25,145.55271403066138,154.04119982655925,B014,8_12_13_41,2020-08-12,18,13:41:00,13,13,0.5,140,OFF,HS,2,LB,0,1,S,NA,37,2.52,137,0,NA,NA,141.35616794615436
1S,25,145.55271403066138,154.04119982655925,B014,8_12_13_43,2020-08-12,18,13:43:00,13,13,0.5,141,OFF,HS,1,LB,0,1,S,NA,12,2.52,137,0,NA,NA,153.4093589263782
1S,25,145.55271403066138,154.04119982655925,B016,8_13_10_38,2020-08-13,19,10:38:00,10,10,0.5,159,OFF,HS,1,LB,0,1,S,NA,21,1.54,202,0,NA,NA,147.41904942412293
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_14,2020-08-13,19,11:14:00,11,11,0.5,169,OFF,HS,1,LB,0,1,S,NA,31,1.83,202,0,NA,NA,143.2500918224557
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_18,2020-08-13,19,11:18:00,11,11,0.5,171,OFF,HS,1,LB,0,1,S,NA,19,1.86,202,0,NA,NA,148.4903753333227
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_27,2020-08-13,19,11:27:00,11,11,0.5,175,OFF,HS,1,LB,0,1,S,NA,27,1.93,202,0,NA,NA,144.7288980019499
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_31,2020-08-13,19,11:31:00,11,11,0.5,176,OFF,HS,2,LB,1,1,S,NA,8,1.96,202,0,NA,NA,157.74958938859234
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_36,2020-08-13,19,11:36:00,11,11,0.5,178,OFF,HS,2,LB,0,1,S,NA,38,2,202,0,NA,NA,141.07070235110007
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_38,2020-08-13,19,11:38:00,11,11,0.5,179,OFF,HS,1,LB,0,1,S,NA,8,2.01,202,0,NA,NA,157.74958938859234
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_39,2020-08-13,19,11:39:00,11,11,0.5,180,OFF,HS,1,LB,0,1,S,NA,29,2.02,202,0,NA,NA,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,B017,8_13_11_42,2020-08-13,19,11:42:00,11,11,0.5,182,OFF,HS,3,LB,0,1,S,NA,38,2.04,202,0,NA,NA,141.07070235110007
1S,25,145.55271403066138,154.04119982655925,B018,8_13_12_2,2020-08-13,19,12:02:00,12,12,0.5,185,OFF,HS,1,LB,0,1,S,NA,29,2.18,202,0,NA,NA,143.9639779975612
1S,25,145.55271403066138,154.04119982655925,B018,8_13_12_26,2020-08-13,19,12:26:00,12,12,0.5,200,OFF,HS,1,LB,0,1,S,NA,42,2.33,202,0,NA,NA,139.9993764419003
1S,25,145.55271403066138,154.04119982655925,B019,8_13_13_41,2020-08-13,19,13:41:00,13,13,0.5,207,OFF,HS,1,LB,0,1,S,NA,9,2.63,202,0,NA,NA,156.48880144638667
1S,25,145.55271403066138,154.04119982655925,B019,8_13_13_47,2020-08-13,19,13:47:00,13,13,0.5,211,OFF,HS,1,LB,0,1,S,NA,25,2.65,202,0,NA,NA,145.55271403066138
1S,25,145.55271403066138,154.04119982655925,B020,8_13_14_7,2020-08-13,19,14:07:00,14,14,0.5,214,OFF,HS,2,LB,0,1,S,NA,16,2.69,202,0,NA,NA,150.3299164063697
1S,25,145.55271403066138,154.04119982655925,B020,8_13_14_28,2020-08-13,19,14:28:00,14,14,0.5,224,OFF,HS,1,LB,0,1,S,NA,44,2.71,202,0,NA,NA,139.50141105616513
1S,25,145.55271403066138,154.04119982655925,B020,8_13_14_31,2020-08-13,19,14:31:00,14,14,0.5,226,OFF,HS,3,LB,0,1,S,NA,32,2.72,202,0,NA,NA,142.9102434241471
1S,25,145.55271403066138,154.04119982655925,B021,8_13_15_14,2020-08-13,19,15:14:00,14,15,0.5,240,OFF,HS,1,LB,0,1,S,NA,41,2.74,202,0,NA,NA,140.25732447574273
1S,25,145.55271403066138,154.04119982655925,B022,8_14_13_9,2020-08-14,20,13:09:00,13,13,0.5,245,OFF,HS,1,LB,0,1,S,NA,16,2.36,632,0,NA,NA,150.3299164063697
1S,25,145.55271403066138,154.04119982655925,B022,8_14_13_13,2020-08-14,20,13:13:00,13,13,0.5,248,OFF,HS,1,LB,0,1,S,NA,21,2.38,632,0,NA,NA,147.41904942412293
1S,25,145.55271403066138,154.04119982655925,B022,8_14_13_19,2020-08-14,20,13:19:00,13,13,0.5,252,OFF,HS,1,LB,0,1,S,NA,19,2.43,632,0,NA,NA,148.4903753333227
1S,25,145.55271403066138,154.04119982655925,B023,8_14_13_47,2020-08-14,20,13:47:00,13,13,0.5,256,OFF,HS,1,LB,0,1,S,NA,41,2.6,632,0,NA,NA,140.25732447574273
1S,25,145.55271403066138,154.04119982655925,B023,8_14_13_53,2020-08-14,20,13:53:00,13,13,0.5,259,OFF,HS,1,LB,1,1,S,NA,21,2.63,632,0,NA,NA,147.41904942412293
1S,25,145.55271403066138,154.04119982655925,B023,8_14_13_54,2020-08-14,20,13:54:00,13,13,0.5,260,OFF,HS,1,LB,1,1,S,NA,26,2.64,632,0,NA,NA,145.13288275400262
1S,25,145.55271403066138,154.04119982655925,B024,8_14_14_42,2020-08-14,20,14:42:00,14,14,0.5,281,OFF,HS,1,LB,0,1,S,NA,28,2.83,632,0,NA,NA,144.33960690411445
1S,25,145.55271403066138,154.04119982655925,T006,8_15_13_16,2020-08-15,21,13:16:00,13,13,0.5,321,ON,HS,1,LB,1,1,S,339,22,2.07,170,0,20.538769382938433,7.884094889996617,146.92108403838773
1S,25,145.55271403066138,154.04119982655925,T009,8_15_15_53,2020-08-15,21,15:53:00,15,15,0.5,361,ON,HS,1,LB,0,1,S,340,23,3.09,170,0,21.612930278075893,7.866463296490377,146.44525790649385
1S,25,145.55271403066138,154.04119982655925,T009,8_15_15_57,2020-08-15,21,15:57:00,15,15,0.5,363,ON,HS,1,LB,0,1,S,71,14,3.1,170,0,4.557954162400194,-13.237260058390435,151.75927988633708
1S,25,145.55271403066138,154.04119982655925,T010,8_15_16_24,2020-08-15,21,16:24:00,16,16,0.5,365,ON,HS,1,LB,0,1,S,316,30,3.15,170,0,21.580194010159527,20.83975111376993,143.60108475630142
1S,25,145.55271403066138,154.04119982655925,T010,8_15_16_33,2020-08-15,21,16:33:00,16,16,0.5,369,ON,HS,1,LB,0,1,S,310,1,3.15,170,0,0.6427876096865393,0.7660444431189781,180.00860833526022
1S,25,145.55271403066138,154.04119982655925,T016,8_16_14_21,2020-08-16,22,14:21:00,14,14,0.5,407,ON,HS,2,LB,0,1,S,14,35,2.35,551,0,33.960350419659875,-8.46726634598837,141.95100571626028
1S,25,145.55271403066138,154.04119982655925,T016,8_16_14_25,2020-08-16,22,14:25:00,14,14,0.5,408,ON,HS,1,LB,0,1,S,286,25,2.4,551,0,6.890933895424984,24.03154239845797,145.55271403066138
1S,25,145.55271403066138,154.04119982655925,T016,8_16_14_28,2020-08-16,22,14:28:00,14,14,0.5,409,ON,HS,1,LB,0,1,S,NA,25,2.43,551,0,NA,NA,145.55271403066138
1S,25,145.55271403066138,154.04119982655925,T016,8_16_14_32,2020-08-16,22,14:32:00,14,14,0.5,412,ON,HS,1,LB,1,1,S,NA,35,2.47,551,0,NA,NA,141.95100571626028
1S,25,145.55271403066138,154.04119982655925,T021,8_17_12_34,2020-08-17,23,12:34:00,12,12,0.5,463,ON,HS,1,LB,0,1,S,216,33,0.45,281,0,-26.697560814373265,19.39691332565161,142.58085357617358
1S,25,145.55271403066138,154.04119982655925,C001,8_18_10_22,2020-08-18,24,10:22:00,10,10,0.5,493,ON,HS,1,LB,0,1,S,320,8,-0.53,239,0,6.128355544951823,5.142300877492317,157.74958938859234
1S,25,145.55271403066138,154.04119982655925,C003,8_18_11_39,2020-08-18,24,11:39:00,11,11,0.5,510,OFF,HS,1,LB,0,1,S,12,35,-0.55,239,0,34.2351660256832,-7.276909178621577,141.95100571626028
1S,25,145.55271403066138,154.04119982655925,C003,8_18_11_45,2020-08-18,24,11:45:00,11,11,0.5,512,OFF,HS,2,LB,0,1,S,340,24,-0.52,239,0,22.552622898861802,8.208483439816046,145.98968594415555
