"","session_id","id","x","y","counts","pa","key","dist2sq","rl_the_sq","rl_emp_sq","jul_day","start_hr","dur_hr","treatment","obs","fish"
"1","C017","55,-35","55","-35",0,0,"C017_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,10,0.5,"OFF","AB",65
"2","C018","55,-35","55","-35",0,0,"C018_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,11,0.5,"OFF","AB",65
"3","C019","55,-35","55","-35",0,0,"C019_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,11,0.5,"OFF","AB",65
"4","C020","55,-35","55","-35",0,0,"C020_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,13,0.5,"OFF","AB",65
"5","C021","55,-35","55","-35",0,0,"C021_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,13,0.5,"OFF","AB",65
"6","C022","55,-35","55","-35",0,0,"C022_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,14,0.5,"OFF","AB",65
"7","C023","55,-35","55","-35",0,0,"C023_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,15,0.5,"OFF","AB",65
"8","C024","55,-35","55","-35",0,0,"C024_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,9,0.5,"OFF","LB",164
"9","C025","55,-35","55","-35",0,0,"C025_55,-35",65.5293229756648,145.671286379761,135.237791670885,46,9,0.5,"ON","AMB",270
"10","C026","55,-35","55","-35",0,0,"C026_55,-35",65.5293229756648,145.671286379761,135.237791670885,46,11,0.5,"OFF","AMB",270
"11","C027","55,-35","55","-35",0,0,"C027_55,-35",65.5293229756648,145.671286379761,135.237791670885,46,12,0.5,"OFF","AB",270
"12","C028","55,-35","55","-35",0,0,"C028_55,-35",65.5293229756648,145.671286379761,135.237791670885,46,12,0.5,"OFF","AB",270
"13","C029","55,-35","55","-35",0,0,"C029_55,-35",65.5293229756648,145.671286379761,135.237791670885,46,13,0.5,"OFF","AB",270
"14","C030","55,-35","55","-35",0,0,"C030_55,-35",65.5293229756648,145.671286379761,135.237791670885,46,14,0.5,"OFF","AB",270
"15","C031","55,-35","55","-35",0,0,"C031_55,-35",65.5293229756648,145.671286379761,135.237791670885,46,14,0.5,"OFF","AB",270
"16","C032","55,-35","55","-35",0,0,"C032_55,-35",65.5293229756648,145.671286379761,135.237791670885,47,10,0.5,"OFF","AB",728
"17","T048","55,-35","55","-35",0,0,"T048_55,-35",65.5293229756648,145.671286379761,135.237791670885,40,10,0.5,"ON","AB",407
"18","T049","55,-35","55","-35",0,0,"T049_55,-35",65.5293229756648,145.671286379761,135.237791670885,40,11,0.5,"ON","AB",407
"19","T050","55,-35","55","-35",0,0,"T050_55,-35",65.5293229756648,145.671286379761,135.237791670885,40,12,0.5,"ON","AB",407
"20","T051","55,-35","55","-35",0,0,"T051_55,-35",65.5293229756648,145.671286379761,135.237791670885,40,13,0.5,"ON","AB",407
"21","T052","55,-35","55","-35",0,0,"T052_55,-35",65.5293229756648,145.671286379761,135.237791670885,40,14,0.5,"ON","AB",407
"22","T053","55,-35","55","-35",0,0,"T053_55,-35",65.5293229756648,145.671286379761,135.237791670885,40,15,0.5,"ON","AB",407
"23","T054","55,-35","55","-35",0,0,"T054_55,-35",65.5293229756648,145.671286379761,135.237791670885,40,15,0.5,"ON","AB",407
"24","T055","55,-35","55","-35",0,0,"T055_55,-35",65.5293229756648,145.671286379761,135.237791670885,41,11,0.5,"ON","AB",195
"25","T056","55,-35","55","-35",0,0,"T056_55,-35",65.5293229756648,145.671286379761,135.237791670885,41,12,0.5,"ON","AB",195
"26","T057","55,-35","55","-35",0,0,"T057_55,-35",65.5293229756648,145.671286379761,135.237791670885,41,13,0.5,"ON","AB",195
"27","T058","55,-35","55","-35",0,0,"T058_55,-35",65.5293229756648,145.671286379761,135.237791670885,41,13,0.5,"ON","AB",195
"28","T059","55,-35","55","-35",0,0,"T059_55,-35",65.5293229756648,145.671286379761,135.237791670885,41,15,0.5,"ON","AB",195
"29","T061","55,-35","55","-35",0,0,"T061_55,-35",65.5293229756648,145.671286379761,135.237791670885,41,16,0.5,"ON","AB",195
"30","T062","55,-35","55","-35",0,0,"T062_55,-35",65.5293229756648,145.671286379761,135.237791670885,42,9,0.5,"ON","AB",65
"31","T063","55,-35","55","-35",0,0,"T063_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,10,0.5,"ON","LB",164
"32","T064","55,-35","55","-35",0,0,"T064_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,11,0.5,"ON","LB",164
"33","T065","55,-35","55","-35",0,0,"T065_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,12,0.5,"ON","LB",164
"34","T066","55,-35","55","-35",0,0,"T066_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,13,0.5,"ON","LB",164
"35","T067","55,-35","55","-35",0,0,"T067_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,13,0.5,"ON","LB",164
"36","T068","55,-35","55","-35",0,0,"T068_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,14,0.5,"ON","LB",164
"37","T069","55,-35","55","-35",0,0,"T069_55,-35",65.5293229756648,145.671286379761,135.237791670885,43,15,0.5,"ON","LB",164
"38","T070","55,-35","55","-35",0,0,"T070_55,-35",65.5293229756648,145.671286379761,135.237791670885,44,10,0.5,"ON","AC",181
"39","T071","55,-35","55","-35",0,0,"T071_55,-35",65.5293229756648,145.671286379761,135.237791670885,44,11,0.5,"ON","AC",181
"40","T072","55,-35","55","-35",0,0,"T072_55,-35",65.5293229756648,145.671286379761,135.237791670885,44,11,0.5,"ON","AC",181
"41","T073","55,-35","55","-35",0,0,"T073_55,-35",65.5293229756648,145.671286379761,135.237791670885,44,12,0.5,"ON","AC",181
"42","T074","55,-35","55","-35",0,0,"T074_55,-35",65.5293229756648,145.671286379761,135.237791670885,44,13,0.5,"ON","AC",181
"43","T075","55,-35","55","-35",0,0,"T075_55,-35",65.5293229756648,145.671286379761,135.237791670885,44,13,0.5,"ON","AC",181
"44","T076","55,-35","55","-35",0,0,"T076_55,-35",65.5293229756648,145.671286379761,135.237791670885,44,14,0.5,"ON","AC",181
"45","T078","55,-35","55","-35",0,0,"T078_55,-35",65.5293229756648,145.671286379761,135.237791670885,45,10,0.5,"ON","AC",314
"46","T079","55,-35","55","-35",0,0,"T079_55,-35",65.5293229756648,145.671286379761,135.237791670885,45,11,0.5,"ON","AC",314
"47","T080","55,-35","55","-35",0,0,"T080_55,-35",65.5293229756648,145.671286379761,135.237791670885,45,11,0.5,"ON","AC",314
"48","T081","55,-35","55","-35",0,0,"T081_55,-35",65.5293229756648,145.671286379761,135.237791670885,47,10,0.5,"ON","AB",728
"49","T082","55,-35","55","-35",0,0,"T082_55,-35",65.5293229756648,145.671286379761,135.237791670885,47,11,0.5,"ON","AMB",728
"50","T083","55,-35","55","-35",0,0,"T083_55,-35",65.5293229756648,145.671286379761,135.237791670885,47,12,0.5,"ON","AMB",728
"51","T084","55,-35","55","-35",0,0,"T084_55,-35",65.5293229756648,145.671286379761,135.237791670885,47,13,0.5,"ON","AMB",728
"52","T085","55,-35","55","-35",0,0,"T085_55,-35",65.5293229756648,145.671286379761,135.237791670885,48,9,0.5,"ON","AB",1153
"53","T086","55,-35","55","-35",0,0,"T086_55,-35",65.5293229756648,145.671286379761,135.237791670885,48,10,0.5,"ON","AB",1153
"54","T087","55,-35","55","-35",0,0,"T087_55,-35",65.5293229756648,145.671286379761,135.237791670885,48,10,0.5,"ON","AB",1153
"55","T088","55,-35","55","-35",0,0,"T088_55,-35",65.5293229756648,145.671286379761,135.237791670885,48,12,0.5,"ON","AC",1153
"56","T089","55,-35","55","-35",0,0,"T089_55,-35",65.5293229756648,145.671286379761,135.237791670885,48,12,0.5,"ON","AC",1153
"57","T090","55,-35","55","-35",0,0,"T090_55,-35",65.5293229756648,145.671286379761,135.237791670885,48,13,0.5,"ON","AC",1153
"58","C017","65,-35","65","-35",0,0,"C017_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,10,0.5,"OFF","AB",65
"59","C018","65,-35","65","-35",0,0,"C018_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,11,0.5,"OFF","AB",65
"60","C019","65,-35","65","-35",0,0,"C019_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,11,0.5,"OFF","AB",65
"61","C020","65,-35","65","-35",0,0,"C020_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,13,0.5,"OFF","AB",65
"62","C021","65,-35","65","-35",0,0,"C021_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,13,0.5,"OFF","AB",65
"63","C022","65,-35","65","-35",0,0,"C022_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,14,0.5,"OFF","AB",65
"64","C023","65,-35","65","-35",0,0,"C023_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,15,0.5,"OFF","AB",65
"65","C024","65,-35","65","-35",0,0,"C024_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,9,0.5,"OFF","LB",164
"66","C025","65,-35","65","-35",0,0,"C025_65,-35",68.3866332844145,145.300575526448,134.780934656276,46,9,0.5,"ON","AMB",270
"67","C026","65,-35","65","-35",0,0,"C026_65,-35",68.3866332844145,145.300575526448,134.780934656276,46,11,0.5,"OFF","AMB",270
"68","C027","65,-35","65","-35",0,0,"C027_65,-35",68.3866332844145,145.300575526448,134.780934656276,46,12,0.5,"OFF","AB",270
"69","C028","65,-35","65","-35",0,0,"C028_65,-35",68.3866332844145,145.300575526448,134.780934656276,46,12,0.5,"OFF","AB",270
"70","C029","65,-35","65","-35",0,0,"C029_65,-35",68.3866332844145,145.300575526448,134.780934656276,46,13,0.5,"OFF","AB",270
"71","C030","65,-35","65","-35",0,0,"C030_65,-35",68.3866332844145,145.300575526448,134.780934656276,46,14,0.5,"OFF","AB",270
"72","C031","65,-35","65","-35",0,0,"C031_65,-35",68.3866332844145,145.300575526448,134.780934656276,46,14,0.5,"OFF","AB",270
"73","C032","65,-35","65","-35",0,0,"C032_65,-35",68.3866332844145,145.300575526448,134.780934656276,47,10,0.5,"OFF","AB",728
"74","T048","65,-35","65","-35",0,0,"T048_65,-35",68.3866332844145,145.300575526448,134.780934656276,40,10,0.5,"ON","AB",407
"75","T049","65,-35","65","-35",0,0,"T049_65,-35",68.3866332844145,145.300575526448,134.780934656276,40,11,0.5,"ON","AB",407
"76","T050","65,-35","65","-35",0,0,"T050_65,-35",68.3866332844145,145.300575526448,134.780934656276,40,12,0.5,"ON","AB",407
"77","T051","65,-35","65","-35",0,0,"T051_65,-35",68.3866332844145,145.300575526448,134.780934656276,40,13,0.5,"ON","AB",407
"78","T052","65,-35","65","-35",0,0,"T052_65,-35",68.3866332844145,145.300575526448,134.780934656276,40,14,0.5,"ON","AB",407
"79","T053","65,-35","65","-35",0,0,"T053_65,-35",68.3866332844145,145.300575526448,134.780934656276,40,15,0.5,"ON","AB",407
"80","T054","65,-35","65","-35",0,0,"T054_65,-35",68.3866332844145,145.300575526448,134.780934656276,40,15,0.5,"ON","AB",407
"81","T055","65,-35","65","-35",0,0,"T055_65,-35",68.3866332844145,145.300575526448,134.780934656276,41,11,0.5,"ON","AB",195
"82","T056","65,-35","65","-35",0,0,"T056_65,-35",68.3866332844145,145.300575526448,134.780934656276,41,12,0.5,"ON","AB",195
"83","T057","65,-35","65","-35",0,0,"T057_65,-35",68.3866332844145,145.300575526448,134.780934656276,41,13,0.5,"ON","AB",195
"84","T058","65,-35","65","-35",0,0,"T058_65,-35",68.3866332844145,145.300575526448,134.780934656276,41,13,0.5,"ON","AB",195
"85","T059","65,-35","65","-35",0,0,"T059_65,-35",68.3866332844145,145.300575526448,134.780934656276,41,15,0.5,"ON","AB",195
"86","T061","65,-35","65","-35",0,0,"T061_65,-35",68.3866332844145,145.300575526448,134.780934656276,41,16,0.5,"ON","AB",195
"87","T062","65,-35","65","-35",0,0,"T062_65,-35",68.3866332844145,145.300575526448,134.780934656276,42,9,0.5,"ON","AB",65
"88","T063","65,-35","65","-35",0,0,"T063_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,10,0.5,"ON","LB",164
"89","T064","65,-35","65","-35",0,0,"T064_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,11,0.5,"ON","LB",164
"90","T065","65,-35","65","-35",0,0,"T065_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,12,0.5,"ON","LB",164
"91","T066","65,-35","65","-35",0,0,"T066_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,13,0.5,"ON","LB",164
"92","T067","65,-35","65","-35",0,0,"T067_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,13,0.5,"ON","LB",164
"93","T068","65,-35","65","-35",0,0,"T068_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,14,0.5,"ON","LB",164
"94","T069","65,-35","65","-35",0,0,"T069_65,-35",68.3866332844145,145.300575526448,134.780934656276,43,15,0.5,"ON","LB",164
"95","T070","65,-35","65","-35",0,0,"T070_65,-35",68.3866332844145,145.300575526448,134.780934656276,44,10,0.5,"ON","AC",181
"96","T071","65,-35","65","-35",0,0,"T071_65,-35",68.3866332844145,145.300575526448,134.780934656276,44,11,0.5,"ON","AC",181
"97","T072","65,-35","65","-35",0,0,"T072_65,-35",68.3866332844145,145.300575526448,134.780934656276,44,11,0.5,"ON","AC",181
"98","T073","65,-35","65","-35",0,0,"T073_65,-35",68.3866332844145,145.300575526448,134.780934656276,44,12,0.5,"ON","AC",181
"99","T074","65,-35","65","-35",0,0,"T074_65,-35",68.3866332844145,145.300575526448,134.780934656276,44,13,0.5,"ON","AC",181
"100","T075","65,-35","65","-35",0,0,"T075_65,-35",68.3866332844145,145.300575526448,134.780934656276,44,13,0.5,"ON","AC",181
"101","T076","65,-35","65","-35",0,0,"T076_65,-35",68.3866332844145,145.300575526448,134.780934656276,44,14,0.5,"ON","AC",181
"102","T078","65,-35","65","-35",0,0,"T078_65,-35",68.3866332844145,145.300575526448,134.780934656276,45,10,0.5,"ON","AC",314
"103","T079","65,-35","65","-35",0,0,"T079_65,-35",68.3866332844145,145.300575526448,134.780934656276,45,11,0.5,"ON","AC",314
"104","T080","65,-35","65","-35",0,0,"T080_65,-35",68.3866332844145,145.300575526448,134.780934656276,45,11,0.5,"ON","AC",314
"105","T081","65,-35","65","-35",0,0,"T081_65,-35",68.3866332844145,145.300575526448,134.780934656276,47,10,0.5,"ON","AB",728
"106","T082","65,-35","65","-35",0,0,"T082_65,-35",68.3866332844145,145.300575526448,134.780934656276,47,11,0.5,"ON","AMB",728
"107","T083","65,-35","65","-35",0,0,"T083_65,-35",68.3866332844145,145.300575526448,134.780934656276,47,12,0.5,"ON","AMB",728
"108","T084","65,-35","65","-35",0,0,"T084_65,-35",68.3866332844145,145.300575526448,134.780934656276,47,13,0.5,"ON","AMB",728
"109","T085","65,-35","65","-35",0,0,"T085_65,-35",68.3866332844145,145.300575526448,134.780934656276,48,9,0.5,"ON","AB",1153
"110","T086","65,-35","65","-35",0,0,"T086_65,-35",68.3866332844145,145.300575526448,134.780934656276,48,10,0.5,"ON","AB",1153
"111","T087","65,-35","65","-35",0,0,"T087_65,-35",68.3866332844145,145.300575526448,134.780934656276,48,10,0.5,"ON","AB",1153
"112","T088","65,-35","65","-35",0,0,"T088_65,-35",68.3866332844145,145.300575526448,134.780934656276,48,12,0.5,"ON","AC",1153
"113","T089","65,-35","65","-35",0,0,"T089_65,-35",68.3866332844145,145.300575526448,134.780934656276,48,12,0.5,"ON","AC",1153
"114","T090","65,-35","65","-35",0,0,"T090_65,-35",68.3866332844145,145.300575526448,134.780934656276,48,13,0.5,"ON","AC",1153
"115","C017","25,-25","25","-25",0,0,"C017_25,-25",35.3918601317827,151.021932220695,141.831825978971,42,10,0.5,"OFF","AB",65
"116","C018","25,-25","25","-25",0,0,"C018_25,-25",35.3918601317827,151.021932220695,141.831825978971,42,11,0.5,"OFF","AB",65
"117","C019","25,-25","25","-25",0,0,"C019_25,-25",35.3918601317827,151.021932220695,141.831825978971,42,11,0.5,"OFF","AB",65
"118","C020","25,-25","25","-25",0,0,"C020_25,-25",35.3918601317827,151.021932220695,141.831825978971,42,13,0.5,"OFF","AB",65
"119","C021","25,-25","25","-25",0,0,"C021_25,-25",35.3918601317827,151.021932220695,141.831825978971,42,13,0.5,"OFF","AB",65
"120","C022","25,-25","25","-25",0,0,"C022_25,-25",35.3918601317827,151.021932220695,141.831825978971,42,14,0.5,"OFF","AB",65
"121","C023","25,-25","25","-25",0,0,"C023_25,-25",35.3918601317827,151.021932220695,141.831825978971,42,15,0.5,"OFF","AB",65
"122","C024","25,-25","25","-25",0,0,"C024_25,-25",35.3918601317827,151.021932220695,141.831825978971,43,9,0.5,"OFF","LB",164
"123","C025","25,-25","25","-25",0,0,"C025_25,-25",35.3918601317827,151.021932220695,141.831825978971,46,9,0.5,"ON","AMB",270
